,text,y_true,y_RNN,y_SVC
76001,sand filter 6m3 brand intex product type filtrat pump batch composit valv minimum number horsepow requir engin power connect way equip glass pipe transfer,23,23,23
59270,seed genius 6th year,1,20,1
3648,filtrat pump astral niagara tri main advantag high resist ip55 protect motor capac pre filter polypropylen bodi transpar polycarbon cover silent quick close system suppli tighten key salt treatment compat suction discharg connect year warranti strong point self prime ha retain debri prevent enter ensur good corros longer servic life technic characterist model power mono 075 037 055 110 150 220 flow rate 155 27m3 voltag 230 400 400v 230v,23,23,23
67290,connect handbook combat hate speech onlin human right educ council europ work support democraci ha strong focus school also lifelong practic well non formal learn activ democrat citizenship integr part foundat need build make sustain realiti one worri form racism discrimin today amplifi internet social medium tip iceberg intoler ethnocentr young peopl direct affect actor victim abus watch protect life insur connexion aim movement youth campaign valuabl tool want address perspect inform toolkit design learner age adapt group,25,25,25
83840,review scienc applic art industri aiguill midi cabl car via lanorvill alga marin fungi destroy limeston sunburn middl eastern oil war atmospher pari,18,18,18
34680,intex purespa bubbl inflat spa peopl light spot float enclosur pack contain bull person round capac liter 098l shape height weight empti connect 220 240v temperatur rise 140 diffus multi color led lamp enjoy night creat perfect atmospher relax differ white green turquois blue purpl two mode fix choos random chang automat shutdown hour work aaa batteri includ easili attach return jet,23,23,23
53701,aqualin titanium procopi brand pool heater categori,23,23,23
15350,karcher special rim brush exampl 366m 076m swim pool kit surfac 3m10 water volum 5600 liter height 58cm remov allow enjoy summer long without clutter garden rest year,23,23,23
22740,smrc s20 wifi fpv 1080p camera 120 wide angl quadcopt 3pc batteri batteryfeatur uniqu fuselag design high qualiti paint outstand appear made strength engin plastic lightweight durabl latest axi flight control system provid super stabl headless mode one key free return care fli flip amaz agil stunt show led light antenna night roll make funni ha level speed chang fun 37v 1800mah time minut matter mountain outing famili parti help captur everi etern moment specif pixel 5mp 1080pfov,9,7,7
10329,flash light bobo ball led flexibl lamp xmas parti decor toy kid hoeroie6203 clear christma featur materi plastic rubber note transpar protect cover outsid product total length 54cm 10cm handl 28cm batteri includ quantiti pcscolor pictur showth power replac extern control switch reus shift click turn quick mode second fix fashion eleg beautytranspar beauti ensur minor damag dure transport make life fun practic itemsdon miss best gift gave child packag 1pcs,7,7,8
78163,stool tabl hwc a80 set industri desgin natur wood design deliveri versatil use materi pine metal maximum load approx tripod stand storag space basket deliv fulli assembl dimens 40x25x25 diamet 40x35x35 fan furnitur articl perfect thank clean made combin item almost everyth therefor addit live room order unpack readi bother worri,13,13,13
65453,strong retro alarm clock tabl lamp home decor metal doubl twin bell bedsid magid descript use near silent movement without tick quiet ensur good sleep work environ high qualiti cold roll materi shell comfort tactil clear pleasant sound definit wake miss import meet next day suitabl travel bedroom live room cabinet studi school offic night light function touch switch behind see soft specif bodi glass face probe color pictur diamet height thick 2x11 5x4 5cm 5x5 5x16 power suppli one batteri includ packag piec manual,16,16,16
56973,bio 250 steril,23,24,23
78400,foldabl inflat swim pool seat summer water float okadaopa 0058 featur materi high qualiti environment protect pvc thick 25mm plastic 116x73cm load 200kg weight 302g bed make fall love whole larg buoyanc comfort fit design distort fade plea allow 3mm error due manual measur pls sure mind befor bid product photo physic light comput monitor differ lead color actual match final base repair profession film past case air leak packag content 1pc mat patch plus,23,23,23
19235,11x wpc rhone tile balconi terrac wood look 30x30cm 1m2 premium anthracit linear floor deliveri load capac 500 caviti base without flat construct joint simpl plug system high durabl prior subsequ treatment shape color stabil oil varnish weather resist insul heat cold dimens approx height width depth new undersid 500kg model 300kg think possibl point garden furnitur quick reach recommend special featur instead connect provid use even break plastic composit also known artifici ideal indoor outdoor varieti way exampl winter sauna swim pool cellar design unlimit thank custom made instal process tool product consist bamboo fiber recycl pigment includ influenc posit qualiti result materi content make pest fade compon contain react temperatur chang moistur sure rain snow drain away prevent warp,22,24,22
78324,nozzl ryobi pressur washer compat rpw120hs,24,24,24
45573,amus journal 778 1871 sea grevin,18,18,18
50488,notebook notepad butterfli pink peel background classic calcul journal 144cm 21cm featur excel durabl sturdi design cover pale yellow page front back high qualiti paper textur easi write thick enough,21,21,21
22135,pvc reed panel trend rang gray screen protect pri eyesthi doubl side garden terrac balconi wind privaci also ani eye weather resist veri easi instal fenc support high end qualiti recycl product cut height length offer differ color pearl anthracit dark green walnut teak white choic dimens avail 120 150m 180 characterist slat width format meter roll materi sever fasten nylon thread use anti treat densiti 1600 deliv depend chosen deliveryship franc onli shipment europ outsid mainland plea contact ship cost,22,22,22
49256,vortex pump 28a type vks self prime horizont singl stage design technic clean water except sea fix condit temperatur plus liquid similar term viscos densiti chemic activ contain mechan impur volum characterist flow rate head engin power rotat speed 1500 rpm weight,24,24,23
50495,hthspa waterlin cleaner liter oogarden bathtub greasi deposit impur accumul advis regular remov use special formul quick easili erad,23,23,23
14986,ashton contemporari child loft bed solid spruce wood white varnish base 190 generic aspen style design separ desk top particl board,13,13,13
72970,ordinari graphit pencil box regular everyday use,21,21,21
24473,new flower metal heart die stencil cut diy scrapbook album card paper craft descript hand emboss help child abil develop intellig made steel materi good hard soft touch great make beauti greet differ shape use allow homemad frame cutout favorit manual machin even press meaning amus tri 81mm carbon color sliver packag includ,16,13,16
45054,pool vacuum cleaner net swim washabl width effici fast independ filtrat work pressur garden hose brush bottom debri leav suppli without handl connector wheel,23,23,23
70248,intex mega chill inflat cooler float ideal pool partiesenjoy moment relax enjoy cold drink hold liter therefor allow full day without leav water cup holder solid handl well made parti lake note equip rope hang armchair mattress,11,23,23
14307,truck crawler car road toy climb kid 448 generic featur 100 brand new high qualiti scale materi plastic metal 4wd charg time hour durat minut color black batteri 48v 400mah remot control includ function drive light forward backward turn right left recommend surfac product approx 17cm 629 69in packag content usb line,9,9,9
32272,swim pool pump 8000l circul 100w filter helloshop26 3116051 sunsun cpp 12000f technic data refer 50969,23,23,23
16989,gre fusion oval steel resin swim pool kit 520 370 135 winter cover bubbl shower rang abov ground brand offer uniqu design generous dimens ideal larg area home cool whole famili summer galvan structur thick 100 stone effect reinforc wide post well sever strut number vari depend blue pvc liner attach overlap system ha complet equip sand filtrat provid safeti ladder remov step groundsheet onli one height kitprov520h extern intern 500 300 space requir 540 water volum 187 m3kitprov670h 690 390 670 770 570 252 m3kitprov760h 780 480 760 460 860 660 352 m3the benefit year manufactur warranti accessori,23,23,23
535,bug bunni mag discov seab,18,18,18
14438,rose gold cushion cover squar pillowcas decor 30cm 50cm home may deviat 2cm due produc date care hand washabl wash cold water gentl cycl use bleach hidden zipper closur live room make look comfort warmth main color pictur show packag includ fashion pillow inner note differ accord manual measur plea check chart befor buy item slight accept light screen,14,14,14
61206,manga dragon ball dbz figur krillin approxim,4,4,4
36656,pokemon 178 cradopaud sl3 sun moon burn shadow common,5,5,5
20125,bolton set vintag squar coffe tabl black lacquer metal bronz mirror top style design thick total dimens,22,13,13
42349,xbox360 4gb game control 200 play,20,20,20
20084,filtrat pump vipool mcb mono main advantag self prime singl block transpar butterfli cover connect suppli wire phase plug larg pre filter basket flexibl bag balanc shaft 316 stainless steel fulli class resin coat motor 100 304 bolt screw compat salt seawat treatment built thermal protect year warranti strong point pumpth equip veri quiet thank obtain incompar fine way even finest debri trap technic characterist pumpmodelsreferencespowerflow rate metersintensityvoltag hzpower supplyconnectionsweight mcb033m b01p001 033 cv527 a230mono mm124 mcb033t b01p002 cv52 a230 400tri mcb050m b01p003 050 cv629 mm129 mcb050t b01p004 cv62 mcb075m b01p005 075 cv1138 mm133 mcb075t b01p006 cv1125 mcb100m b01p007 cv1344 mm137 mcb100t b01p008 caution ani electr instal swim pool must carri accord rule art french standard forc hesit necessari contact technician,23,23,23
5844,sunnylif cpl glass filter solar hood dji mavic air drone accessori move2470 generic len sun featur multifunct function anti glare protect frame edg use visor better shoot effect lens built middl prevent dust fingerprint aluminum alloy instal easi affect gimbal self inspect panoram multi layer coat film high qualiti optic stabl properti homogen elimin unnecessari reflect increas satur transmitt color true restor captur clear imag aerial cnc ultra light full anod precis laser engrav skid thread knurl design perfect match circular polar unwant non metal surfac water creat deep rich scenic help reduc amount enter especi stray packag includ choos one filterhelp,9,9,9
73605,point view imag world 1871 1984 elisabeth franc,18,18,18
57373,game german card luxuri class content featur play format number player minimum age year,8,8,8
32117,tele recip album,19,18,19
10681,clinquart jean custom administr franc volum,19,19,19
80249,wec extrem playstat,20,1,20
28539,biba 365 geraldin nakach pascal elb amalr tour katherin heigl,18,18,18
12201,explos model tile stereo anti collis sticker pvc wall stick featur 100 brand new high qualiti world best self adhes easi instal peel concept diy made possibl technologytm make product veri cut maintain minut without ani tool smooth clean surfac use renov kitchen back splash bathroom resist humid heat rang onc remov simpli hair dryer much easier gel sheet moistur wipe stain bacteri mold environment friend materi simpl 30x 4cm color pictur show packag content,16,24,16
57669,dulceplus mini fruiti sweet 100g bag small veri candi enjoy ingredi sugar glucos syrup water gell agent gelatin modifi potato starch acidifi e330 e270,15,15,15
56894,butterfli suspens dalber,12,9,18
81632,intex doubl loung air mattress 198x160 56897eu inflat offer perfect place spend hour lie water float made high qualiti vinyl safeti reason ha three chamber uniqu symmetr design make activ enjoy built pillow cup holder friend relax togeth without ani worri color multicolor materi dimens 198 160 sturdi repair patch includ,23,23,23
60518,pragma castl top mountain climber play structur help child improv balanc coordin climb wall slide king queen reach platform time break bench welcom two handl fit lookout larg one hour activ explor height 98cm ultra resist durabl product year warranti doubl roto mold plastic made usa dimens 155 156 weight 33kg month deliveri mainland franc exclud corsica onli day,11,11,11
58064,chlorin disinfect powder 2kg swim pool descript enjoy well offer clean clear maintain water thank wide rang treatment product hth discov special specif use biocid caution befor read label inform packag measur cap fast dissolv without stabil dosag shock 150g 10m3 increas content 1mg 15g power minimum concentr hypochlorit avail market total free isocyanur acid degas form faster granul avoid problem relat technic detail composit ani question contact hotlin monday friday 0826 deliveri home carrier benefit order track receiv person number email thus via websit know time made doorstep bottom build deliv work day veri import upon receipt must imper check event damag note precis reserv indic condit good formul,23,23,23
22454,dark within lineag download game note activ code must use valid steam account internet connect requir seri adventur inspir work famous horror novelist lovecraft second instal onc play inspector howard loreid man torment paranorm phenomenon take place around first volum hunt loath nolder discov sulphur past link mad engulf immers univers thing still live memori long forgotten exist arkhamend citi consum boredom despair victorian mansion secret terrifi dilapid build snowi wood underground tunnel domin fear offer even challeng previous prepar plung rememb turn back director cut edit ha creat especi contain mani addit featur avail version graphic improv environ new locat begin explor chromat aberr color grade effect cinemat style great visual balanc gameplay thank puzzl unlik part opus longer point click heart base power nvidia physx physic engin move wherev want light sourc project shadow real time lift push pull throw object realist way integr clue system level difficulti standard detect senior dynam solv typic deciph dream highlight extract document order recov signific interact breathtak special stun person gloomi atmospher experi uniqu enhanc captiv lovecraftian storylin blood curdl sinist soundtrack window 2000 vista processor ghz intel pentium equival amd 512 ram 1gb recommend video card 256 directx compat better geforc ati radeon x1600 compar pixel vertex shader support hard drive 3gb sound,26,26,26
83012,naf pink swim brief child girl year turquois small ruffl polyest elastan,14,11,12
40840,psc rectangular inground swim pool kit height 125,23,23,23
27052,aiueo doraemon drive japan import,4,4,1
24289,notebook notepad univers alien ufo diari journal classic chemistri 144 featur excel durabl sturdi design cover pale yellow page front back high qualiti paper textur write easili,21,21,21
73367,vilmorin basil seed mix general inform plant product type assort descript made differ shape,22,24,22
67780,mini american bulldog squeez toy funni soft stress anxieti relief featur packag includ pc anim squishi total 276 inch child supervis adult play easi clean mochi rins water dirti wide use perfect increas blood circul hand surpris feel amaz stop pinch becaus great tactil full abil excel materi made good tpr comfort touch hold bad rubber plastic smell,7,7,8
56537,farm frenzi ice age download game unwind new adventur join scarlett travel north pole inspect purchas newspap arriv onli find properti state disrepair also meet two brother might help make cream delici level ici fun rais care penguin arctic anim craft product enjoy host visual gag highlight hilari stori special surpris guest,26,26,26
51074,inflat palm tree 90cm hawaiian pool toy kid parti decor featur materi pvc polyvinyl chlorid approx 275 base fill water sand weigh novelti idea luau hen widow packag includ,23,8,23
83791,sunbay violett wooden swim pool kit 511 124 winter cover enjoy peac home model general dimens extern intern 460 121 water height 111 area volum 165 concret slab option 474 packag 200 120 675 780 equip side structur thick log cope stone blue pvc liner 100 bottom wall felt sand filtrat unit flow rate multi way valv includ skimmer return jet cross interior stainless steel ladder non slip step remov exterior shape edg corner,23,23,23
2183,sell playstat slim control game,20,20,20
17917,new waterproof shower curtain hook print polyest bathroom product sell point soft comfort feel non toxic pvc mesh bottom odorless moldi easi absorb water dust good ventil clean shed fade back avoid direct sunlight prevent splash outsid protect privaci peopl imag use heat sublim techniqu long effect descript materi fiber 180x180cm equip design fit bathtub stall ideal standard hang steel tube packag includ 1pcs,13,13,13
38696,mini drone storag bag waterproof carri case handbag suitcas dji sparkzen4853 generic sparkfeatur compat spark backpack veri conveni portabl also equip unman aerial vehicl relat accessori hand suitabl outdoor high qualiti two way zipper repeat pull time durabl water resist lightweight descript stabl easi take storng foam keep devi note includ specif materi evacolor blacksiz 225x185x72mmpackag,9,9,9
64087,moakoada bl3650 3900kv brushless motor 120a program card combo generic esc car descript kit includ 3650 sensorless perfect made high qualiti aluminum alloy produc use latest cnc mill machin therefor provid longer run time effici great power speed featur improv throttl respons excel acceler perform open circuit linear remov replac rotor abec5 super larg bear stator ultra thin lamin 02mm pole torqu 6061 heatsink precis design maximum energi convers short less wire 1ms befor travel 9ms synchron rectif disabl function waterproof dustproof suitabl weather sourc current life built bec output capac materi give strong resist electron compon durabl spare part model lightweight long term specif plastic pcb color blue weight 67g option 45a 60a 80a batteri lithium polym nickel metal hydrid 58v take plug male 4mm banana femal approx 32mm 13inch packag vehicl stroke capabl vehiclesth cardbl3650 dimens connector,9,9,9
20923,zorua 108 dark explor,5,5,5
12535,mcdo hello kitti figurin 2016,4,4,4
47027,young man woman ha pas away youth far behind name pierr andr publish novel happi illus longev work wife marth live year wa polit journalist age vaniti desir stand maxim die alway friend ten lover littl apart provid counterpoint two peopl elois daughter philipp bud novelist confid admir latter central subject contain singl day death place action tell truth one rather long inexhaust remembr word silenc small gestur affect exchang everyth past bond deceas unit separ hurt delight made onc vibrant disench life end leav mix feel victori failur useless unforgett beauti,25,25,25
616,footbal game playstat,20,20,20
1916,hasbro aveng infin war blaster assembl gear star lord,11,7,4
62002,anim paint cotton linen pillowcas home decor cushion waist cover featur 100 brand new high qualiti materi color multi back beig white print singl side shape squar 18x18 45cm type plea allow slight deviat measur understand thank packag includ,14,14,14
2526,digit pool heater vulcan titanium mono tri singl three phase maximum volum equip water circul regul control thermostat high limit safeti integr contactor element contact flow tube resist,23,23,23
66181,charc hunt magazin,18,19,19
28637,jeux massacr slaughter game magic retour ravnica,5,5,5
23155,fq777 fq17w wifi fpv foldabl pocket drone 3mp camera altitud hold mode 900 generic descript highlight arm design except portabl thank bring anywher enabl mount aircraft stream live video pilot ground fli board instead watch eye actual posit maintain constant allow roll pitch yaw control normal headless need adjust befor flight one key take land press automat quadcopt return took filp high speed aerobat button transmitt get 360 degre continu flip perfect action wonder perform make easier enjoy experi led creativ light equip night capabl leav beauti sceneri sky general specif brand item name alloy ab peo wheelbas 16cm fold quacopt 115 product weight 45g batteri frequenc channel 4ch gyro 6axi 720 576 30fps distanc 80m rang 30m motor 0820 coreless 300mah 25c time 8min charg 40min aaa includ color black dimens packeg 215 165 61cm packag 265g content phone holder propel english manual,9,9,9
71119,thumper rabbit figurin bambi disney,4,4,4
81785,benedictin abbey fecamp scientif work 12th centenari 658 1958 volum booklet,19,18,19
24895,shen shi dian,0,8,18
140,waterproof portabl bag carri case batteri storag box dji air mavic airfeatur durabl made high qualiti 1860d sturdi compact leather exterior eva interior crush drone accessori protect scratch shock splash larg capac premium handl store control propel cabl shockproof fit perfect add encount heavi rain wild worri get wet great uav doe suffer damag dimens 87x7 09x3 54inch enough extrem soft smaller paper awesom travel specif net weight 239 special design 20x18x9cmpackag content,9,9,9
7682,xbox 360 consol control kinect game,20,20,20
79260,bestway power steel swim vista seri oval pool set 56714 fun backyard famili friend kit quick easili uniqu realist rattan print offer warm honey speckl tone sturdi pli sidewal ensur superior strength durabl corros resist metal frame stabl construct integr drain valv allow easi drainag water connect garden hose includ adapt filter cartridg pump part circul system keep clean prevent growth alga mold microbi bacteria safeti ladder help swimmer get cover protect good condit ground cloth place base twig sharp stone harm debri deliveri sheet dispens dimens 427 250 100 robust wall capac full two transpar window adhes repair patch antimicrobi extend life improv filtrat qualiti seal lock safe secur pipe flow control 220 240 530 gal 006 remov step detach instal chemconnect,23,23,23
23400,blue motocross stunt print babi bib,12,12,12
2979,intex bubbl cover metal frame junior 2m60 1m60 ideal heat pool lower cost essenti maintain effici convent store sun dure day prevent loss night addit protect dirt insect characterist dimens thick 150g suitabl prism,23,23,23
77326,artifici flower bouquet home wed decor hand magid descript beauti silk bridesmaid bride made high qualiti uniqu design perfect girl engag photo prop etc materi plastic dxh 748 905 inch packag includ piec note color might slight differ due calibr individu monitor plea allow metal measur deviat manual,16,16,16
28339,begin univers educ pari 1200 1245 approxim,0,0,18
61874,essenti red dog antiparasit collar 60cm 30kg fight flea tick month without alter pet sen smell biodegrad thrown compost bin use color,17,17,17
64494,pack 3000 postag label 165 compat frank machin ref print back front pitney bow dm50 555223 cash box 1000,21,21,21
59314,front rear stainless steel board protect chassi protector boardproduct featur made fix screwsfin workmanship perfect styleeffect trx4light weight easi decoratemateri steelcolor silveritem 22mm pcsitem 14g suitabl traxxa trx rock crawler carpackag 10x6x3cm 4x2 4x1 2inpackag 44gpackag content board1x screw,9,7,9
44801,kamui black medium hard process import japan tip made 100 japanes pigskin multi layer leather glue design give spin cue ball except qualiti thank player put slower speed elast absorb energi billiard order desir sold individu flexibl 9mm,10,1,10
40065,collect set nintendo video game princess peach 2ds prochett ipod touch case,20,20,20
70092,bmw 645 red brown eggplant welli seri,9,9,9
4443,cotter pin assort box fix set organ 555pcs tool 1524 555pcsfeatur 100 brand new high qualiti kept handi plastic keep separ easi access split enough multipl choic made metal great make fasten exquisit workmanship surfac smooth without burr featur hard rust resist corros specif materi metaltyp pinquant 555pcsweight 780gsize approx 11x 3cmsplit type 58x25 150pcs2 38x25 38x38 100pcs3 17x31 75pcs3 17x50 50pcs3 96x63 30pcspackag list1 case includ note plea allow differ thank,24,24,24
37900,essenzia hawaii set tradit box spring 70x190 foam foot let tempt high resili firm slat base,13,13,13
49159,panlelo set retro design dine chair chais longu comfort pad seat gray plastic leg solid beech wood cushion synthet leather filler medium soft foam weight 3kg pc 0875kg 175kg total net 19kg gross 208kg height 48cm thick 25cm width 5cm 82cm pack 74cm,13,13,13
11188,non modular filter group fb14 white projector filtrat unit ideal swim pool construct kit readi renov instal type structur concret shell wood panel 45m3 max length standard integr pump electr box,23,23,23
76303,set acryl wall sticker modern decal diy decor descript 100 brand new high qualiti veri fashion breath design like shell materi 27cm easi conveni use oper product usag wallsofa walldin roombedroomdoorfreezerwardrob onsimpl tediumal show atmospher eleg nobl life packag includ 1set mirror,16,16,16
1983,sticker asterix crossroad n19,8,4,0
19678,happi halloween linen pillow case cotton sofa cushion cover home decor 8317 descript condit handmad brand new never use without tag set make look like care hand washabl wash cold water gentl cycl bleach hidden zipper closur insert sold separ materi style x18 45cm may deviat 2cm due produc date packag includ 1pc,14,14,14
65950,star war tie advanc larg ship hasbro 1995 action fleet,7,4,4
20077,lion first age dashboard logitoy travel,12,0,0
18912,straight black pvc solar shower pool tank aluminum base easi connect water suppli provid heat free sun thank captur ray wide head adjust jet chrome look mixer fix concret slab dowel screw washer veri sunni locat capac maximum pressur bar height 214,23,23,23
35486,sg900 foldabl quadcopt 24ghz 1080p camera wifi gps fpv fix point drone helicopt 2900 two batteri descript posit one key height land function high definit built bodi design 120 wide angl adjust shoot easili take resolut photo video smart follow automat align racket enjoy flight give differ experi return pick low control voltag remot signal surround center around current hover aircraft rotat radius meter choos mine aerocarft 10secont collect recommend fli long time featur specif item model name app distanc 300m 1100mah modular 10min charg 180min transmitt 390mah lithum product 29x29 4cm unfold 8x4x4cm fold drop trun left right forward backward fast slow uncontrol button intellig track,7,7,9
55514,4pcs metal rim 9inch beadlock wheel scx10 anonywego298 generic specif materi alloy quantiti outer diamet 52mm width 26mm weight 125g pc suit 90027 90028 90034 90035 90044 d90 tamiya cc01 car packag list hub,9,9,9
48749,solid reclaim wood side tabl antiqu style eleg design add sophist touch home coffe made ha characterist differ like mahogani teak mango acacia etc may find caviti left nail screw bolt imperfect highlight authent materi reveal rich histori never intent come natur fallen tree wooden boat hous piec furnitur uniqu slight next sign wear craftsmanship fulli handmad give look spectacular vintag step process carri utmost care import note color vari make deliveri random dimens,13,13,13
30553,unilift grundfo automat lift pump submers stainless steel wast water non aggress sewag dirti mono 230v cabl brand ref sale unit piec outlet inch,24,24,24
